,Stress,COUNTRYNAM
New Caledonia,-5,New Caledonia
Pitcairn Islands,4,Pitcairn Islands
Papua New Guinea,-5,Papua New Guinea
Solomon Islands,4,Solomon Islands
Kiribati: Phoenix Islands,4,Kiribati: Phoenix Islands
Fiji,-3,Fiji
Tuvalu,4,Tuvalu
Northern Cook Islands,-3,Northern Cook Islands
Kiribati: Line Islands,4,Kiribati: Line Islands
Federated States of Micronesia,-3,Federated States of Micronesia
Samoa,4,Samoa
Kiribati: Gilbert Islands,4,Kiribati: Gilbert Islands
Wallis & Futuna,4,Wallis & Futuna
Tokelau,2,Tokelau
Tuamotu / Gambier Islands,-666,Tuamotu / Gambier Islands
Tonga,-5,Tonga
Niue,-5,Niue
Southern Cook Islands,-666,Southern Cook Islands
Austral Islands,-666,Austral Islands
Society Islands,-666,Society Islands
Marquesas,-5,Marquesas
Vanuatu South,-5,Vanuatu South
Vanuatu North,-5,Vanuatu North
Guam,-5,Guam
Northern Marianas,-5,Northern Marianas
Marshall Islands,-5,Marshall Islands
Nauru,4,Nauru
Palau,-5,Palau
American Samoa,4,American Samoa
