locationID,CATEGORY,-6,-5,-4,-3,-2,-1,Stress,stress_category
New Caledonia,-5,0,2,2,4,-5,2,-2.8,-1
Pitcairn Islands,4,2,4,-3,-3,-5,2,-1.1999999999999993,0
Papua New Guinea,4,4,-3,0,2,0,-5,0.20000000000000018,0
Solomon Islands,4,4,-3,4,4,-3,2,8.2,2
Kiribati: Phoenix Islands,4,-5,2,4,0,0,4,10.2,2
Fiji,2,0,4,0,4,4,0,10.8,2
Tuvalu,4,2,-3,4,0,-3,4,6.6,2
Northern Cook Islands,-5,-3,0,-3,-3,2,2,-5.800000000000001,-1
Kiribati: Line Islands,4,0,-3,2,0,2,2,8.0,2
Federated States of Micronesia,4,4,-5,-3,-3,4,-3,-0.40000000000000036,0
Samoa,2,-3,2,-3,2,-3,4,3.0,1
Kiribati: Gilbert Islands,4,-3,0,0,2,4,4,13.0,3
Wallis & Futuna,4,0,4,-3,4,2,4,13.0,3
Tokelau,0,-3,-3,-3,-3,0,2,-4.0,-1
Tuamotu / Gambier Islands,-5,4,-3,-3,-3,-5,0,-14.599999999999998,-3
Tonga,-5,-3,2,-5,4,4,4,3.4000000000000004,1
Niue,-5,2,-3,-5,4,2,-3,-6.6,-1
Southern Cook Islands,0,-5,4,0,2,2,4,8.2,2
Austral Islands,0,2,2,-3,0,4,4,7.4,2
Society Islands,-3,4,-5,-3,-5,2,0,-8.0,-2
Marquesas,-5,2,-3,0,2,0,-5,-9.2,-2
Vanuatu South,-5,4,4,2,2,-3,-3,-5.8,-1
Vanuatu North,-5,4,-3,-5,4,-3,4,-4.2,-1
Guam,-5,4,-3,2,2,0,4,1.3999999999999995,0
Northern Marianas,-5,0,0,2,-3,-3,2,-7.2,-2
Marshall Islands,0,2,0,-3,2,0,2,2.2,1
Nauru,4,0,0,4,0,2,4,12.4,3
Palau,-5,-3,0,0,0,-3,-5,-13.6,-3
American Samoa,2,0,4,-3,4,-5,4,4.0,1
